"","X1560850_at","X1557843_at","X229381_at","X1553622_a_at","X204273_at","X230800_at","X211734_s_at","X214156_at","X209945_s_at","X228618_at","X206201_s_at","X220225_at","X228554_at","X213712_at","X226814_at","X206702_at","X205009_at","X204623_at","X220581_at","X211248_s_at","X209560_s_at","dataY"
"GSM1116167_BC16_ARN0014_s1h1s1_U133p2.CEL.gz",3.17653014910668,3.06391207158538,5.64079379735918,5.92489995920363,2.94731486353204,5.83006075082701,3.80011869652272,3.18721262701116,8.78127516561097,5.2700706885359,3.07999575441203,8.05290798887738,4.47216206395709,3.86808228474536,4.9347061903235,4.05278847939372,3.88359362526838,5.7310100725,3.88766076341919,4.77056007688665,3.86646622043325,1
"GSM1116168_BC16_ARN0015_s1h1s1_U133p2.CEL.gz",3.28377035964288,3.02408348759567,4.8284755156244,4.55271850868027,2.98740789504592,6.05466930251548,3.86549407961134,3.4196020644658,8.29058054265386,4.90374175913139,2.72817494659097,7.78004734462142,3.97214443125363,3.63719812948072,6.66214308655123,4.5792565759909,4.43380207608711,5.66558055014729,4.02552081865186,4.56112642402394,4.44119018946911,1
"GSM1116169_BC16_ARN0018_s1h1s1_U133p2.CEL.gz",3.92176933344447,3.23363885950543,5.73336363597107,4.22560192588844,4.69950798506178,7.8964596314134,4.30274709798177,4.35368444977188,6.47028133897057,6.8277244842821,4.54900272331669,5.519209973601,5.34637571189137,4.18477905570675,7.71970340854997,6.65074136222759,5.17678383415134,8.7777165347509,5.79206966480237,5.17813855867012,7.03084367048492,1
"GSM1116170_BC16_ARN0019_s1h1s1_U133p2.CEL.gz",3.9947883105649,3.17113397610602,5.42796506261659,3.69405433034105,5.55895153213919,8.72790917042784,4.75248824311867,5.08673876649208,6.6049144784506,7.91075177854338,7.1227618436649,5.82300430153586,5.78476789201785,4.90997726711164,7.47770061392008,6.74420099920914,5.53081948931536,7.82127019602205,4.4624007130852,5.79340266884653,4.99711601804773,1
"GSM1116171_BC16_ARN0020_s1h1s1_U133p2.CEL.gz",4.21299360374743,3.17914497993727,5.13833651222017,3.19137185078561,8.04883464100008,8.99330353244564,4.24235425856483,5.94076711780129,6.91657014695081,7.99591742533783,8.49090091977302,5.51645209908797,6.98082848023775,3.90773499387582,8.16602173515757,7.97903707912859,8.64805274758322,7.77923443054262,4.95354566720517,5.64818173570751,5.27203739135324,1
"GSM1116172_BC16_ARN0024_s1h1s1_U133p2.CEL.gz",4.50670374297208,3.30332361855697,5.53264919191826,3.46842418258835,6.79180045354444,9.05469394263374,6.32459851373645,5.27723025750892,7.0149938590637,8.04673437522052,6.89427782674416,6.6129259145389,9.18482915472024,6.65910107922275,7.63126464051118,7.14511315354862,7.73935921318514,7.19621812006755,4.57584932524507,5.74148761161555,11.0115935864138,1
"GSM1116173_BC16_ARN0025_s1h1s1_U133p2.CEL.gz",4.81191310694949,3.1644849863075,5.86860896778962,3.54474021289425,6.30728717886092,9.2820867515709,4.85463232069419,5.37468481039842,7.09373057945783,7.81646523574605,7.59034545854053,6.56826777994891,7.45250316769791,5.34409599999019,7.26069301853121,7.43581644552669,7.53286055988954,8.62992848560236,4.80305192014427,5.39396482716011,5.21011070796337,1
"GSM1116174_BC16_ARN0026_s1h1s1_U133p2.CEL.gz",3.82870777169598,3.2549856397443,6.54926291949453,3.44528999022199,7.66825950420186,8.65891270097636,4.19441318144024,4.12063867332361,6.38957806348001,7.44921310200222,5.6086461126567,6.88756902463931,8.08870096729182,6.31435242068398,8.28810045638685,6.14773694876,10.0849349939838,9.78283487872008,4.97117251122669,5.6069992680835,12.1960193906842,1
"GSM1116175_BC16_ARN0027_s1h1s1_U133p2.CEL.gz",3.93871073843457,3.48571814480242,5.20548884091772,3.86988055133907,6.43490152815106,7.82781101820067,5.39472514504487,4.41297676931797,5.6633463518387,7.21432381567114,5.44390813789255,6.04239574305171,9.09425435224147,4.76446153449583,8.27815038918453,6.74062831800598,8.59632514396908,8.46176172674116,5.14019237412266,5.74541408705719,9.52381148934722,1
"GSM1116176_BC16_ARN0028_s1h1s1_U133p2.CEL.gz",3.90922074020415,3.43342707320041,5.58926209475739,3.95870624329035,6.03754998599647,7.68985419028472,4.55418352473213,4.19191169498596,5.91038591446572,6.56043205613694,3.82681944338337,5.98498808731224,5.70588930081047,4.27399397707895,8.18928459303611,6.41861110022562,4.96892007059078,7.87451240172625,5.19364534769248,6.40928939369264,8.95599305441158,1
